EUNIS2019C,EUNIS2019D,n_surveys,n_species,total_area,n_cells
MG12,MG12: Atlantic abyssal rock,0,0,2.4773855919851533,93675
MG15,MG15: Mediterranean abyssal rock,0,0,0.009118887136539591,332
MG32,MG32: Atlantic abyssal coarse sediment,0,0,0.12340092674059173,4596
MG35,MG35: Mediterranean abyssal coarse sediment,0,0,0.13923541952280216,5160
MG41,MG41: Arctic abyssal mixed sediment,0,0,0.2469749594915484,9206
MG42,MG42: Atlantic abyssal mixed sediment,0,0,1.0494020373528725,38867
MG44,MG44: Black Sea abyssal mixed sediment,0,0,0.00399325311478947,147
MG54,MG54: Black Sea abyssal sand,0,0,0.01858053673737363,687
MG54 or MG64,MG54 or MG64: Black Sea abyssal sand or Black Sea abyssal mud,0,0,0.0012767127085872658,49
MG55,MG55: Mediterranean abyssal sand,0,0,0.4078251573495334,15065
MG64,MG64: Black Sea abyssal mud,0,0,11.055915122510088,408860
