AphiaID,rank,scientificname
123200,Family,Ophiuridae
111054,Genus,Tubulipora
103439,Family,Didemnidae
123082,Class,Echinoidea
140295,Species,Lutraria lutraria
234851,Species,Alitta virens
140873,Species,Gari tellinella
131171,Species,Scolelepis bonnieri
117368,Species,Clytia hemisphaerica
139106,Species,Chaetoderma nitidulum
130683,Species,Pseudomystides limbata
141580,Species,Macoma calcarea
111374,Species,Securiflustra securifrons
140744,Species,Philine aperta
110839,Genus,Bugula
100665,Family,Edwardsiidae
107649,Species,Pandalus borealis
138636,Genus,Dosinia
131290,Species,Eusyllis blomstrandi
122739,Species,Cyanophthalma obscura
101368,Family,Aoridae
148714,Species,Morchellium argus
129778,Species,Ampharete finmarchica
712167,Species,Austrominius modestus
106674,Infraorder,Caridea
131394,Species,Sphaerosyllis taylori
333456,Species,Exogone verugera
834002,Species,Bugulina flabellata
102139,Species,Nototropis falcatus
131575,Species,Trichobranchus roseus
140201,Species,Leptochiton cancellatus
129964,Species,Cirriformia tentaculata
107345,Species,Macropodia rostrata
181343,Species,Parvicardium pinnulatum
913,Family,Spionidae
129953,Species,Chaetozone gibber
107155,Species,Galathea strigosa
102160,Species,Apherusa bispinosa
130248,Species,Lumbrineris latreilli
157583,Species,Syllis cornuta
117913,Species,Sertularia cupressina
102364,Species,Gammaropsis maculata
103068,Species,Bathyporeia pilosa
117824,Species,Plumularia setacea
132663,Species,Hymeniacidon perlevis
181364,Species,Venerupis corrugata
130769,Species,Harmothoe imbricata
131379,Species,Sphaerosyllis bulbosa
140242,Species,Limatula subauriculata
129155,Genus,Ampharete
130235,Species,Lumbrineriopsis paradoxa
131180,Species,Spio armata
110806,Family,Crisiidae
117912,Species,Sertularia argentea
150520,Species,Nymphon brevirostre
101489,Genus,Corophium
129775,Species,Ampharete acutifrons
132473,Species,Axinella dissimilis
855674,Species,Cylista troglodytes
334510,Species,Phyllodoce maculata
141424,Species,Scrobicularia plana
1039850,Species,Steromphala umbilicalis
101933,Species,Ampelisca typica
955291,Species,Chironomus plumosus
103076,Species,Bathyporeia tenuipes
989,Subfamily,Spirorbinae
140299,Species,Mactra stultorum
101025,Species,Epizoanthus couchii
130353,Species,Nephtys assimilis
137582,Species,Tubificoides pseudogaster
111496,Species,Escharella ventricosa
136458,Species,Tanaopsis graciloides
102377,Species,Megamphopus cornutus
110462,Species,Iphinoe trispinosa
107327,Species,Inachus dorsettensis
862786,Species,Schizomavella (Schizomavella) auriculata
132480,Species,Axinella infundibuliformis
131576,Species,Trochochaeta multisetosa
118852,Species,Eurydice pulchra
118995,Species,Gnathia oxyuraea
132833,Species,Haliclona (Haliclona) oculata
102570,Species,Hippomedon denticulatus
129242,Genus,Chaetozone
106213,Species,Balanus balanus
107322,Species,Hyas araneus
147459,Species,Patella pellucida
107418,Species,Pilumnus hirtellus
129337,Genus,Lumbrineris
131490,Species,Eupolymnia nesidensis
103719,Species,Ascidiella scabra
100987,Species,Cereus pedunculatus
106122,Genus,Balanus
106889,Genus,Ebalia
103743,Species,Corella parallelogramma
107651,Species,Pandalus montagui
102916,Species,Pontocrates altamarinus
131373,Species,Pseudosyllis brevipennis
136063,Species,Thysanocardia procera
138831,Species,Goodallia triangularis
468026,Species,Alcyonidioides mytili
793,Phylum,Platyhelminthes
111361,Species,Eucratea loricata
130963,Species,Pseudopotamilla reniformis
119822,Family,Mysidae
107323,Species,Hyas coarctatus
140687,Species,Aequipecten opercularis
154127,Species,Schistomeringos rudolphi
